power,oem,country,class,engine_kw,blade,bucket_m3,type,year,status,model,link,date,tonnage_t,blade_w_m,blade_h_m,raw_specs
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/en-us/products/equipment/forklifts,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/content/komatsu/websites/na/en-us/contact-us,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/en-us/technology/smart-quarry,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/en-us/products/parts,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/en-us/technology,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/content/komatsu/websites/na/en-us/services-and-support,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/en-us/products/equipment/motor-graders,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/content/komatsu/websites/na/en-us/about,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/en-us/products/equipment/underground-hard-rock-drills,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/en-us/products/equipment/crushing,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/en-us,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/en-us/products/equipment/wheel-loaders,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/content/komatsu/websites/na/en-us/california-supply-chain-transparency-act,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/en-us/products/equipment,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/content/komatsu/websites/na/en-us/privacy-statement,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/en-us/newsroom/2026/komatsu-introduces-xf895-3-forwarder,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/en-us/products/equipment/hard-rock-continuous-miners,2026-02-15,,,,{}
Hybrid,Komatsu,Japan,,,,,Excavator,,,,https://www.komatsu.com/en-us/technology/smart-quarry/site,2026-02-15,,,,{}
